"Step","trill-quark-1 - eval/loss","trill-quark-1 - eval/loss__MIN","trill-quark-1 - eval/loss__MAX"
"2","6.010260105133057","6.010260105133057","6.010260105133057"
"6","5.451025485992432","5.451025485992432","5.451025485992432"
"9","5.206989288330078","5.206989288330078","5.206989288330078"
"13","5.0504961013793945","5.0504961013793945","5.0504961013793945"
"16","4.944783687591553","4.944783687591553","4.944783687591553"
"20","4.863419532775879","4.863419532775879","4.863419532775879"
"23","4.80105447769165","4.80105447769165","4.80105447769165"
"27","4.751862525939941","4.751862525939941","4.751862525939941"
"30","4.709717273712158","4.709717273712158","4.709717273712158"
"34","4.675931930541992","4.675931930541992","4.675931930541992"
"37","4.644444942474365","4.644444942474365","4.644444942474365"
"41","4.612803936004639","4.612803936004639","4.612803936004639"
"44","4.586300373077393","4.586300373077393","4.586300373077393"
"48","4.564328670501709","4.564328670501709","4.564328670501709"
"51","4.543801307678223","4.543801307678223","4.543801307678223"
"55","4.5248589515686035","4.5248589515686035","4.5248589515686035"
"58","4.507729530334473","4.507729530334473","4.507729530334473"
"62","4.492128372192383","4.492128372192383","4.492128372192383"
"65","4.4814887046813965","4.4814887046813965","4.4814887046813965"
"69","4.463685512542725","4.463685512542725","4.463685512542725"
"72","4.45048189163208","4.45048189163208","4.45048189163208"
"76","4.438422679901123","4.438422679901123","4.438422679901123"
"79","4.426661968231201","4.426661968231201","4.426661968231201"
"83","4.417348861694336","4.417348861694336","4.417348861694336"
"86","4.406561374664307","4.406561374664307","4.406561374664307"
"90","4.395215034484863","4.395215034484863","4.395215034484863"
"93","4.388395309448242","4.388395309448242","4.388395309448242"
"97","4.378286838531494","4.378286838531494","4.378286838531494"
"100","4.37180757522583","4.37180757522583","4.37180757522583"
"104","4.363292217254639","4.363292217254639","4.363292217254639"
"107","4.354642391204834","4.354642391204834","4.354642391204834"
"111","4.345139503479004","4.345139503479004","4.345139503479004"
