"Step","lively-deluge-2 - eval/loss","lively-deluge-2 - eval/loss__MIN","lively-deluge-2 - eval/loss__MAX","jolly-waterfall-1 - eval/loss","jolly-waterfall-1 - eval/loss__MIN","jolly-waterfall-1 - eval/loss__MAX"
"2","2.0163750648498535","2.0163750648498535","2.0163750648498535","2.080369710922241","2.080369710922241","2.080369710922241"
"6","1.9234354496002197","1.9234354496002197","1.9234354496002197","2.0050365924835205","2.0050365924835205","2.0050365924835205"
"9","1.886293649673462","1.886293649673462","1.886293649673462","1.9513098001480103","1.9513098001480103","1.9513098001480103"
"13","1.8056023120880127","1.8056023120880127","1.8056023120880127","1.8956828117370605","1.8956828117370605","1.8956828117370605"
"16","1.7614257335662842","1.7614257335662842","1.7614257335662842","1.848320722579956","1.848320722579956","1.848320722579956"
"20","1.7491881847381592","1.7491881847381592","1.7491881847381592","1.8161225318908691","1.8161225318908691","1.8161225318908691"
"23","1.7206560373306274","1.7206560373306274","1.7206560373306274","1.7852853536605835","1.7852853536605835","1.7852853536605835"
"27","1.7022006511688232","1.7022006511688232","1.7022006511688232","1.7599588632583618","1.7599588632583618","1.7599588632583618"
