"Step","winter-bird-1 - eval/loss","winter-bird-1 - eval/loss__MIN","winter-bird-1 - eval/loss__MAX"
"2","0.8204730153083801","0.8204730153083801","0.8204730153083801"
"6","0.6365844011306763","0.6365844011306763","0.6365844011306763"
"9","0.5668143033981323","0.5668143033981323","0.5668143033981323"
"13","0.5345205664634705","0.5345205664634705","0.5345205664634705"
"16","0.5127319693565369","0.5127319693565369","0.5127319693565369"
