"Step","divine-tree-1 - eval/loss","divine-tree-1 - eval/loss__MIN","divine-tree-1 - eval/loss__MAX"
"2","5.944962501525879","5.944962501525879","5.944962501525879"
"6","5.420722961425781","5.420722961425781","5.420722961425781"
"9","5.172731399536133","5.172731399536133","5.172731399536133"
"13","5.029542922973633","5.029542922973633","5.029542922973633"
"16","4.925635814666748","4.925635814666748","4.925635814666748"
"20","4.846156120300293","4.846156120300293","4.846156120300293"
"23","4.785190105438232","4.785190105438232","4.785190105438232"
"27","4.733343124389648","4.733343124389648","4.733343124389648"
"30","4.689336776733398","4.689336776733398","4.689336776733398"
"34","4.65668249130249","4.65668249130249","4.65668249130249"
"37","4.62911319732666","4.62911319732666","4.62911319732666"
"41","4.59556245803833","4.59556245803833","4.59556245803833"
"44","4.569447040557861","4.569447040557861","4.569447040557861"
"48","4.551658630371094","4.551658630371094","4.551658630371094"
"51","4.524509906768799","4.524509906768799","4.524509906768799"
"55","4.504641532897949","4.504641532897949","4.504641532897949"
"58","4.488284587860107","4.488284587860107","4.488284587860107"
"62","4.469846725463867","4.469846725463867","4.469846725463867"
"65","4.458097457885742","4.458097457885742","4.458097457885742"
"69","4.443324089050293","4.443324089050293","4.443324089050293"
"72","4.431293964385986","4.431293964385986","4.431293964385986"
"76","4.41837215423584","4.41837215423584","4.41837215423584"
"79","4.404731273651123","4.404731273651123","4.404731273651123"
"83","4.393640518188477","4.393640518188477","4.393640518188477"
"86","4.385132789611816","4.385132789611816","4.385132789611816"
"90","4.372302532196045","4.372302532196045","4.372302532196045"
"93","4.362284183502197","4.362284183502197","4.362284183502197"
"97","4.354540824890137","4.354540824890137","4.354540824890137"
