"Step","avid-cosmos-4 - eval/loss","avid-cosmos-4 - eval/loss__MIN","avid-cosmos-4 - eval/loss__MAX"
"2","0.736253559589386","0.736253559589386","0.736253559589386"
"6","0.6523278951644897","0.6523278951644897","0.6523278951644897"
"9","0.6181292533874512","0.6181292533874512","0.6181292533874512"
"13","0.5968725681304932","0.5968725681304932","0.5968725681304932"
"16","0.5823996663093567","0.5823996663093567","0.5823996663093567"
