"Step","generous-wood-3 - eval/loss","generous-wood-3 - eval/loss__MIN","generous-wood-3 - eval/loss__MAX"
"1","0.002882814034819603","0.002882814034819603","0.002882814034819603"
"4","0.001389890443533659","0.001389890443533659","0.001389890443533659"
"7","0.0009765964932739735","0.0009765964932739735","0.0009765964932739735"
"9","0.0007062777876853943","0.0007062777876853943","0.0007062777876853943"
"12","0.0005596668925136328","0.0005596668925136328","0.0005596668925136328"
"15","0.00040386526961810887","0.00040386526961810887","0.00040386526961810887"
"17","0.00038491812301799655","0.00038491812301799655","0.00038491812301799655"
"20","0.0003472648386377841","0.0003472648386377841","0.0003472648386377841"
"23","0.0003607631952036172","0.0003607631952036172","0.0003607631952036172"
"25","0.00022959112538956106","0.00022959112538956106","0.00022959112538956106"
"28","0.0002269527321914211","0.0002269527321914211","0.0002269527321914211"
"31","0.00012166680244263262","0.00012166680244263262","0.00012166680244263262"
"33","0.00011195326078450307","0.00011195326078450307","0.00011195326078450307"
"36","0.0001515148760518059","0.0001515148760518059","0.0001515148760518059"
"39","0.00011953539797104895","0.00011953539797104895","0.00011953539797104895"
"41","0.00013882838538847864","0.00013882838538847864","0.00013882838538847864"
"44","0.00008234466804424301","0.00008234466804424301","0.00008234466804424301"
"47","0.000051483446441125125","0.000051483446441125125","0.000051483446441125125"
"49","0.00003326287696836516","0.00003326287696836516","0.00003326287696836516"
"52","0.00005630785381072201","0.00005630785381072201","0.00005630785381072201"
"55","0.000035472578019835055","0.000035472578019835055","0.000035472578019835055"
"57","0.000005761151442129631","0.000005761151442129631","0.000005761151442129631"
"60","0.000009774640602699947","0.000009774640602699947","0.000009774640602699947"
"63","0.00003962429036619142","0.00003962429036619142","0.00003962429036619142"
"65","0.00000871946303959703","0.00000871946303959703","0.00000871946303959703"
"68","0.000004102625098312274","0.000004102625098312274","0.000004102625098312274"
"71","0.000011017275028279983","0.000011017275028279983","0.000011017275028279983"
"73","0.0000129808049678104","0.0000129808049678104","0.0000129808049678104"
"76","0.000015777439330122434","0.000015777439330122434","0.000015777439330122434"
