"Step","desert-forest-1 - eval/loss","desert-forest-1 - eval/loss__MIN","desert-forest-1 - eval/loss__MAX"
"2","5.891777515411377","5.891777515411377","5.891777515411377"
"6","5.371800899505615","5.371800899505615","5.371800899505615"
"9","5.137235641479492","5.137235641479492","5.137235641479492"
"13","4.99215030670166","4.99215030670166","4.99215030670166"
"16","4.884485244750977","4.884485244750977","4.884485244750977"
"20","4.809700012207031","4.809700012207031","4.809700012207031"
"23","4.7487568855285645","4.7487568855285645","4.7487568855285645"
"27","4.696439266204834","4.696439266204834","4.696439266204834"
"30","4.657620906829834","4.657620906829834","4.657620906829834"
"34","4.6178154945373535","4.6178154945373535","4.6178154945373535"
"37","4.587993621826172","4.587993621826172","4.587993621826172"
"41","4.559147834777832","4.559147834777832","4.559147834777832"
"44","4.539151668548584","4.539151668548584","4.539151668548584"
"48","4.51445198059082","4.51445198059082","4.51445198059082"
"51","4.493410110473633","4.493410110473633","4.493410110473633"
"55","4.479516983032227","4.479516983032227","4.479516983032227"
"58","4.458353042602539","4.458353042602539","4.458353042602539"
"62","4.445481777191162","4.445481777191162","4.445481777191162"
"65","4.42913818359375","4.42913818359375","4.42913818359375"
"69","4.416491985321045","4.416491985321045","4.416491985321045"
"72","4.400532245635986","4.400532245635986","4.400532245635986"
"76","4.388972759246826","4.388972759246826","4.388972759246826"
"79","4.385210037231445","4.385210037231445","4.385210037231445"
"83","4.36791467666626","4.36791467666626","4.36791467666626"
"86","4.356841564178467","4.356841564178467","4.356841564178467"
"90","4.347029209136963","4.347029209136963","4.347029209136963"
"93","4.3365254402160645","4.3365254402160645","4.3365254402160645"
"97","4.327975749969482","4.327975749969482","4.327975749969482"
"100","4.319974422454834","4.319974422454834","4.319974422454834"
"104","4.312534332275391","4.312534332275391","4.312534332275391"
"107","4.305891036987305","4.305891036987305","4.305891036987305"
"111","4.293886661529541","4.293886661529541","4.293886661529541"
"114","4.287114143371582","4.287114143371582","4.287114143371582"
"118","4.27976655960083","4.27976655960083","4.27976655960083"
"121","4.276561260223389","4.276561260223389","4.276561260223389"
"125","4.268041610717773","4.268041610717773","4.268041610717773"
"128","4.262042999267578","4.262042999267578","4.262042999267578"
"132","4.256001949310303","4.256001949310303","4.256001949310303"
"135","4.252856731414795","4.252856731414795","4.252856731414795"
"139","4.245264530181885","4.245264530181885","4.245264530181885"
"142","4.240783214569092","4.240783214569092","4.240783214569092"
"146","4.2372846603393555","4.2372846603393555","4.2372846603393555"
