"Step","warm-rain-3 - eval/loss","warm-rain-3 - eval/loss__MIN","warm-rain-3 - eval/loss__MAX","rosy-cherry-2 - eval/loss","rosy-cherry-2 - eval/loss__MIN","rosy-cherry-2 - eval/loss__MAX","swift-music-1 - eval/loss","swift-music-1 - eval/loss__MIN","swift-music-1 - eval/loss__MAX"
"2","5.53767204284668","5.53767204284668","5.53767204284668","8.574904441833496","8.574904441833496","8.574904441833496","5.540972709655762","5.540972709655762","5.540972709655762"
"6","5.161148548126221","5.161148548126221","5.161148548126221","7.618935585021973","7.618935585021973","7.618935585021973","5.166724681854248","5.166724681854248","5.166724681854248"
"9","5.042417049407959","5.042417049407959","5.042417049407959","6.902312755584717","6.902312755584717","6.902312755584717","5.046552658081055","5.046552658081055","5.046552658081055"
"13","4.978620529174805","4.978620529174805","4.978620529174805","6.443384170532227","6.443384170532227","6.443384170532227","4.980977535247803","4.980977535247803","4.980977535247803"
"16","4.940532684326172","4.940532684326172","4.940532684326172","6.133697032928467","6.133697032928467","6.133697032928467","4.938382625579834","4.938382625579834","4.938382625579834"
"20","4.909633636474609","4.909633636474609","4.909633636474609","5.930145740509033","5.930145740509033","5.930145740509033","4.9064764976501465","4.9064764976501465","4.9064764976501465"
"23","4.884932041168213","4.884932041168213","4.884932041168213","5.7804131507873535","5.7804131507873535","5.7804131507873535","4.882095813751221","4.882095813751221","4.882095813751221"
"27","4.865334987640381","4.865334987640381","4.865334987640381","5.664944648742676","5.664944648742676","5.664944648742676","4.8600754737854","4.8600754737854","4.8600754737854"
"30","4.84580659866333","4.84580659866333","4.84580659866333","5.574193000793457","5.574193000793457","5.574193000793457","4.84303617477417","4.84303617477417","4.84303617477417"
"34","4.8299560546875","4.8299560546875","4.8299560546875","5.501699447631836","5.501699447631836","5.501699447631836","4.826376914978027","4.826376914978027","4.826376914978027"
"37","4.816725254058838","4.816725254058838","4.816725254058838","5.442155361175537","5.442155361175537","5.442155361175537","4.812283039093018","4.812283039093018","4.812283039093018"
"41","4.806273460388184","4.806273460388184","4.806273460388184","5.3915019035339355","5.3915019035339355","5.3915019035339355","4.798542499542236","4.798542499542236","4.798542499542236"
"44","4.795146465301514","4.795146465301514","4.795146465301514","5.348219871520996","5.348219871520996","5.348219871520996","4.787333011627197","4.787333011627197","4.787333011627197"
"48","4.785495281219482","4.785495281219482","4.785495281219482","5.310877323150635","5.310877323150635","5.310877323150635","4.775145530700684","4.775145530700684","4.775145530700684"
"51","4.778802394866943","4.778802394866943","4.778802394866943","5.27853536605835","5.27853536605835","5.27853536605835","4.765652179718018","4.765652179718018","4.765652179718018"
"55","4.770506858825684","4.770506858825684","4.770506858825684","5.250094890594482","5.250094890594482","5.250094890594482","4.759113311767578","4.759113311767578","4.759113311767578"
"58","4.763772487640381","4.763772487640381","4.763772487640381","5.225147724151611","5.225147724151611","5.225147724151611","4.751181602478027","4.751181602478027","4.751181602478027"
"62","4.75675106048584","4.75675106048584","4.75675106048584","5.20282506942749","5.20282506942749","5.20282506942749","4.7413010597229","4.7413010597229","4.7413010597229"
"65","4.750463962554932","4.750463962554932","4.750463962554932","5.182529449462891","5.182529449462891","5.182529449462891","4.733346462249756","4.733346462249756","4.733346462249756"
"69","4.745385646820068","4.745385646820068","4.745385646820068","5.164067268371582","5.164067268371582","5.164067268371582","4.726720809936523","4.726720809936523","4.726720809936523"
"72","4.740476608276367","4.740476608276367","4.740476608276367","5.147277355194092","5.147277355194092","5.147277355194092","4.720113277435303","4.720113277435303","4.720113277435303"
