"Step","warm-rain-3 - eval/loss","warm-rain-3 - eval/loss__MIN","warm-rain-3 - eval/loss__MAX","rosy-cherry-2 - eval/loss","rosy-cherry-2 - eval/loss__MIN","rosy-cherry-2 - eval/loss__MAX","swift-music-1 - eval/loss","swift-music-1 - eval/loss__MIN","swift-music-1 - eval/loss__MAX"
"76","4.736507415771484","4.736507415771484","4.736507415771484","5.132588863372803","5.132588863372803","5.132588863372803","4.715277194976807","4.715277194976807","4.715277194976807"
"79","4.73179292678833","4.73179292678833","4.73179292678833","5.119755744934082","5.119755744934082","5.119755744934082","4.708021640777588","4.708021640777588","4.708021640777588"
"83","4.727945327758789","4.727945327758789","4.727945327758789","5.10759973526001","5.10759973526001","5.10759973526001","4.704135894775391","4.704135894775391","4.704135894775391"
"86","4.724237442016602","4.724237442016602","4.724237442016602","5.096860408782959","5.096860408782959","5.096860408782959","4.698561668395996","4.698561668395996","4.698561668395996"
"90","4.721580982208252","4.721580982208252","4.721580982208252","5.086971759796143","5.086971759796143","5.086971759796143","4.6956634521484375","4.6956634521484375","4.6956634521484375"
"93","4.718696117401123","4.718696117401123","4.718696117401123","5.077802658081055","5.077802658081055","5.077802658081055","4.690544605255127","4.690544605255127","4.690544605255127"
"97","4.716884136199951","4.716884136199951","4.716884136199951","5.069497108459473","5.069497108459473","5.069497108459473","4.684772491455078","4.684772491455078","4.684772491455078"
"100","4.714090347290039","4.714090347290039","4.714090347290039","5.061758518218994","5.061758518218994","5.061758518218994","4.681766510009766","4.681766510009766","4.681766510009766"
"104","4.712246894836426","4.712246894836426","4.712246894836426","5.054667949676514","5.054667949676514","5.054667949676514","4.6785359382629395","4.6785359382629395","4.6785359382629395"
"107","4.710231304168701","4.710231304168701","4.710231304168701","5.048211097717285","5.048211097717285","5.048211097717285","4.675074100494385","4.675074100494385","4.675074100494385"
"111","4.7089385986328125","4.7089385986328125","4.7089385986328125","5.042110443115234","5.042110443115234","5.042110443115234","4.669979572296143","4.669979572296143","4.669979572296143"
"114","4.707755088806152","4.707755088806152","4.707755088806152","5.036326885223389","5.036326885223389","5.036326885223389","4.667603492736816","4.667603492736816","4.667603492736816"
"118","4.706933498382568","4.706933498382568","4.706933498382568","5.03117561340332","5.03117561340332","5.03117561340332","4.664178848266602","4.664178848266602","4.664178848266602"
"121","4.706320285797119","4.706320285797119","4.706320285797119","5.026263236999512","5.026263236999512","5.026263236999512","4.662280082702637","4.662280082702637","4.662280082702637"
"125","","","","5.02155876159668","5.02155876159668","5.02155876159668","4.659513473510742","4.659513473510742","4.659513473510742"
"128","","","","5.01724910736084","5.01724910736084","5.01724910736084","4.656265735626221","4.656265735626221","4.656265735626221"
"132","","","","5.01329231262207","5.01329231262207","5.01329231262207","4.653500080108643","4.653500080108643","4.653500080108643"
"135","","","","5.009345531463623","5.009345531463623","5.009345531463623","4.649989128112793","4.649989128112793","4.649989128112793"
"139","","","","5.005876064300537","5.005876064300537","5.005876064300537","4.6492133140563965","4.6492133140563965","4.6492133140563965"
"142","","","","5.0025811195373535","5.0025811195373535","5.0025811195373535","4.646154880523682","4.646154880523682","4.646154880523682"
"146","","","","4.9992475509643555","4.9992475509643555","4.9992475509643555","4.643524646759033","4.643524646759033","4.643524646759033"
"149","","","","4.996364593505859","4.996364593505859","4.996364593505859","4.641303539276123","4.641303539276123","4.641303539276123"
"153","","","","4.993582725524902","4.993582725524902","4.993582725524902","4.640137672424316","4.640137672424316","4.640137672424316"
"156","","","","4.990880966186523","4.990880966186523","4.990880966186523","4.638018608093262","4.638018608093262","4.638018608093262"
"160","","","","4.988422870635986","4.988422870635986","4.988422870635986","4.635797023773193","4.635797023773193","4.635797023773193"
"163","","","","4.985965728759766","4.985965728759766","4.985965728759766","4.6341142654418945","4.6341142654418945","4.6341142654418945"
"167","","","","4.9837822914123535","4.9837822914123535","4.9837822914123535","4.632484436035156","4.632484436035156","4.632484436035156"
"170","","","","4.981655120849609","4.981655120849609","4.981655120849609","4.631038188934326","4.631038188934326","4.631038188934326"
"174","","","","4.979711055755615","4.979711055755615","4.979711055755615","4.6298651695251465","4.6298651695251465","4.6298651695251465"
"177","","","","4.97782039642334","4.97782039642334","4.97782039642334","4.629336357116699","4.629336357116699","4.629336357116699"
"181","","","","4.976126194000244","4.976126194000244","4.976126194000244","4.627181529998779","4.627181529998779","4.627181529998779"
"184","","","","4.974499702453613","4.974499702453613","4.974499702453613","4.6249680519104","4.6249680519104","4.6249680519104"
"188","","","","4.972999095916748","4.972999095916748","4.972999095916748","4.624011516571045","4.624011516571045","4.624011516571045"
"191","","","","4.97161340713501","4.97161340713501","4.97161340713501","4.622429847717285","4.622429847717285","4.622429847717285"
"195","","","","4.970375061035156","4.970375061035156","4.970375061035156","4.621753692626953","4.621753692626953","4.621753692626953"
"198","","","","4.969098091125488","4.969098091125488","4.969098091125488","4.620301246643066","4.620301246643066","4.620301246643066"
"202","","","","4.967915058135986","4.967915058135986","4.967915058135986","4.619052886962891","4.619052886962891","4.619052886962891"
"205","","","","4.966911315917969","4.966911315917969","4.966911315917969","4.619686603546143","4.619686603546143","4.619686603546143"
"209","","","","4.9659647941589355","4.9659647941589355","4.9659647941589355","4.617931842803955","4.617931842803955","4.617931842803955"
"212","","","","4.96511173248291","4.96511173248291","4.96511173248291","4.617201805114746","4.617201805114746","4.617201805114746"
"216","","","","4.964282035827637","4.964282035827637","4.964282035827637","4.61649227142334","4.61649227142334","4.61649227142334"
"219","","","","4.963629722595215","4.963629722595215","4.963629722595215","4.615850448608398","4.615850448608398","4.615850448608398"
"223","","","","4.963014602661133","4.963014602661133","4.963014602661133","4.6148505210876465","4.6148505210876465","4.6148505210876465"
"226","","","","4.962481498718262","4.962481498718262","4.962481498718262","4.61447286605835","4.61447286605835","4.61447286605835"
"230","","","","4.962000846862793","4.962000846862793","4.962000846862793","4.614058971405029","4.614058971405029","4.614058971405029"
"233","","","","4.961621284484863","4.961621284484863","4.961621284484863","4.613135814666748","4.613135814666748","4.613135814666748"
"237","","","","4.961318492889404","4.961318492889404","4.961318492889404","4.613046646118164","4.613046646118164","4.613046646118164"
"240","","","","4.9611101150512695","4.9611101150512695","4.9611101150512695","4.612939357757568","4.612939357757568","4.612939357757568"
"244","","","","4.960970878601074","4.960970878601074","4.960970878601074","4.612428665161133","4.612428665161133","4.612428665161133"
"247","","","","4.960893154144287","4.960893154144287","4.960893154144287","4.61225700378418","4.61225700378418","4.61225700378418"
